Run;Columna1;best_eval;mismatch_w;distance_w;match log;Average mismatch;Distance;equity_score;cost / match;;
1;sa_log_2026-03-06_11-20-31;1.467807421;29.25076783;500.9092771;matching_20260306_120820;2.007272727;210025.3546;0.897372662;1.046321966;;Different objective function?
2;sa_log_2026-03-06_12-39-20;1.572742243;971.1963271;913.5842762;matching_20260306_155849;1.807272727;303823.5438;0.87790928;1.681116188;;
3;sa_log_2026-03-06_13-15-16;1.572742243;391.2054797;376.9998558;matching_20260306_160958;1.797272727;304047.5604;0.880538306;1.69171632;;
4;sa_log_2026-03-06_13-42-34;1.572742243;51.14292967;52.00463603;matching_20260306_162344;1.808181818;306265.9696;0.855519735;1.693778615;;
5;sa_log_2026-03-06_14-12-01;1.572742243;107.1941516;105.8551566;matching_20260306_163118;1.809090909;318538.1838;0.850749554;1.76076383;;
6;sa_log_2026-03-06_14-39-16;1.572742243;873.3985796;828.5846997;matching_20260306_163853;1.788181818;317926.7065;0.834721224;1.777932777;;
7;sa_log_2026-03-06_15-06-11;1.572742243;367.0691066;358.4545009;matching_20260306_172055;1.801818182;301302.7693;0.874486565;1.672215168;;
8;sa_log_2026-03-06_16-03-25;1.572742243;314.3776578;302.0611587;matching_20260306_173241;1.802727273;308467.9906;0.854071785;1.711118455;;
9;sa_log_2026-03-06_16-37-22;1.549932768;84.62559898;265.101663;matching_20260306_175456;1.886363636;253311.4715;0.901252962;1.342855993;;

