Run;Columna1;best_eval;mismatch_w;distance_w;match log;Average mismatch;Distance;equity_score;Ratio w1 w2;;
1;sa_log_2026-03-06_11-20-31;1.467807421;29.25076783;500.9092771;matching_20260306_120820;2.007272727;210025.3546;0.897372662;0.058395341;;Different objective function?
2;sa_log_2026-03-06_12-39-20;1.572742243;971.1963271;913.5842762;matching_20260306_155849;1.807272727;303823.5438;0.87790928;1.063061561;;
3;sa_log_2026-03-06_13-15-16;1.572742243;391.2054797;376.9998558;matching_20260306_160958;1.797272727;304047.5604;0.880538306;1.037680714;;
4;sa_log_2026-03-06_13-42-34;1.572742243;51.14292967;52.00463603;matching_20260306_162344;1.808181818;306265.9696;0.855519735;0.983430201;;
5;sa_log_2026-03-06_14-12-01;1.572742243;107.1941516;105.8551566;matching_20260306_163118;1.809090909;318538.1838;0.850749554;1.012649313;;
6;sa_log_2026-03-06_14-39-16;1.572742243;873.3985796;828.5846997;matching_20260306_163853;1.788181818;317926.7065;0.834721224;1.054084851;;
7;sa_log_2026-03-06_15-06-11;1.572742243;367.0691066;358.4545009;matching_20260306_172055;1.801818182;301302.7693;0.874486565;1.024032634;;
8;sa_log_2026-03-06_16-03-25;1.572742243;314.3776578;302.0611587;matching_20260306_173241;1.802727273;308467.9906;0.854071785;1.040774852;;
9;sa_log_2026-03-06_16-37-22;1.549932768;84.62559898;265.101663;matching_20260306_175456;1.886363636;253311.4715;0.901252962;0.319219419;;
10;sa_log_2026-03-06_17-08-19;1.568789208;126.590912;18.42236255;matching_20260307_122637;1.798181818;306016.1789;0.863737326;6.871589443;;
11;sa_log_2026-03-06_17-56-38;1.572742243;434.1489304;424.0306491;matching_20260307_123609;1.793636364;313454.514;0.892441029;1.023862146;;
12;sa_log_2026-03-06_18-40-20;1.568789208;651.8590919;32.28712854;matching_20260307_124555;1.802727273;326850.5037;0.858423475;20.18944147;;
13;sa_log_2026-03-06_19-08-10;1.572742243;420.8217383;420.3872599;matching_20260307_125708;1.803636364;315216.062;0.839894213;1.001033519;;
14;sa_log_2026-03-06_19-38-21;1.572742243;272.9796749;272.0567229;matching_20260307_132215;1.796363636;321487.842;0.877290282;1.003392499;;
15;sa_log_2026-03-06_20-40-31;1.572742243;998.4028878;968.7604432;matching_20260307_134603;1.785454545;315651.4119;0.869385898;1.030598323;;
16;sa_log_2026-03-06_21-09-55;1.572742243;289.9151157;280.683426;matching_20260307_135442;1.794545455;320945.4523;0.82881469;1.032890042;;
17;sa_log_2026-03-06_21-38-00;1.553528234;155.4784211;394.0021535;matching_20260307_140229;1.880909091;252672.7585;0.921923345;0.394613125;;
18;sa_log_2026-03-06_22-06-29;1.572742243;172.375872;162.5322929;matching_20260307_141025;1.772727273;321589.7481;0.804064812;1.060563836;;
19;sa_log_2026-03-06_22-34-45;1.571982514;355.3742175;420.3958146;matching_20260307_143414;1.816363636;286741.0096;0.878507162;0.845332435;;
20;sa_log_2026-03-06_23-03-21;1.572742243;328.8220716;318.0875498;matching_20260307_144239;1.787272727;318139.8671;0.830349405;1.033747067;;
21;sa_log_2026-03-06_23-31-52;1.572742243;946.0302874;935.0089205;matching_20260307_145054;1.82;314746.8526;0.830124606;1.011787446;;
