Run;Columna1;best_eval;mismatch_w;distance_w;match log;Average mismatch;Distance;equity_score;Ratio w1 w2
1;sa_log_2026-03-07_00-59-07;2.53351521;200.2419298;409.1681514;matching_20260307_152054;1.865454545;250294.1719;0.906646485;
2;sa_log_2026-03-07_01-28-05;2.53351521;297.2643323;608.2010387;matching_20260307_153119;1.836363636;275817.3832;0.860121546;
3;sa_log_2026-03-07_01-56-14;2.53351521;465.3471986;922.2968928;matching_20260307_153927;1.835454545;283417.2853;0.86543952;
4;sa_log_2026-03-07_02-24-20;2.53351521;340.4205941;674.6314506;matching_20260307_155515;1.821818182;274361.3897;0.867198924;
5;sa_log_2026-03-07_02-52-49;2.533511547;105.441345;205.8691306;matching_20260307_161646;1.836363636;278057.7867;0.844076567;
6;sa_log_2026-03-07_03-21-00;2.53351521;349.4326479;713.0716676;matching_20260307_164129;1.822727273;277263.0503;0.861183361;
7;sa_log_2026-03-07_03-49-27;2.53351521;285.6061786;571.9851426;matching_20260307_170612;1.842727273;276671.6139;0.866828881;
8;sa_log_2026-03-07_04-17-30;2.53351521;370.962577;739.6375382;matching_20260307_172903;1.834545455;282038.5234;0.861066522;
9;sa_log_2026-03-07_04-45-42;2.532938697;128.7825343;232.0267657;matching_20260307_175359;1.821818182;280492.4071;0.868044953;
10;sa_log_2026-03-07_05-13-45;2.53351521;491.434466;974.8076237;matching_20260307_181808;1.834545455;282038.5234;0.861066522;
11;sa_log_2026-03-07_05-42-04;2.53348799;49.50344264;95.00758419;matching_20260307_184415;1.826363636;279581.3492;0.863256512;
12;sa_log_2026-03-07_06-10-39;2.53351521;82.5044451;163.8296151;matching_20260307_185523;1.835454545;279231.3153;0.860680493;
13;sa_log_2026-03-07_06-38-38;2.532587187;78.21045574;129.8527464;matching_20260307_190435;1.804545455;286843.6467;0.869877503;
14;sa_log_2026-03-07_07-06-36;2.50891175;503.9650815;1.834489385;matching_20260307_192104;1.786363636;326310.3179;0.825905005;
15;sa_log_2026-03-07_07-35-04;2.53351521;103.7814181;208.8059608;matching_20260307_192941;1.848181818;266429.2263;0.893427954;
16;sa_log_2026-03-07_08-03-01;2.53351521;268.273589;541.1221523;matching_20260307_193800;1.829090909;281758.5872;0.859410953;
17;sa_log_2026-03-07_08-30-53;2.51919427;758.6396199;419.9215919;matching_20260307_194553;1.784545455;319159.3287;0.801530415;
18;sa_log_2026-03-07_08-58-57;2.53351521;118.869766;236.4113098;matching_20260307_195338;1.854545455;268044.9205;0.892394812;
19;sa_log_2026-03-07_09-27-05;2.53351521;27.82523313;56.08475739;matching_20260307_200129;1.828181818;279815.6765;0.866675152;
20;sa_log_2026-03-07_09-55-27;2.51919427;223.5848437;141.1503293;matching_20260307_200920;1.790909091;326093.7994;0.801000085;
