SA_RUN_METADATA
initial_state,
step_size,0.3
temperature,2
iterations,300
bounds,"[(0.0, 1000.0), (0.0, 1000.0)]"

iteration,temperature,current_eval,current_solution,best_eval,best_solution
actual_initial_state,"[394.0121768329329, 742.2046701038316]"
0,2.0,2.160753737381823,"[371.55341416579466, 769.5020048217992]",2.1627439952459415,"[394.0121768329329, 742.2046701038316]"
1,1.9933333333333334,2.1443411048456746,"[354.7544335385859, 794.1157669588838]",2.1627439952459415,"[394.0121768329329, 742.2046701038316]"
